track_id,track_name,primary_artist_name,album_release_year,track_popularity,popularity_bin,n_ratings_track,p_empirical,p_artist,n_artist,p_year,n_year,p_popularity,n_popularity,p_artist_genre,n_artist_genre,p_mood_timbre,n_mood_timbre,p_dance_party,n_dance_party,p_instrumental_electronic,n_instrumental_electronic,n_feature_support,p_feature_weighted,p_final,p_global,method
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,2020,89,High,8,0.5,0.30246913580246915,160,0.17761557177615572,820,0.35250295266648496,11005,0.30246913580246915,160,0.3057779701363341,4619,0.3105590062111801,3862,0.29694621695533274,4386,25012,0.3212819839613085,0.3213414253944585,0.3328613077884215,mixed
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,2017,88,High,6,0.625,0.366412213740458,129,0.3100401606425703,1243,0.35250295266648496,11005,0.34615384615384615,102,0.3057779701363341,4619,0.3248459958932238,4868,0.29694621695533274,4386,26352,0.32799722501610756,0.3280657377058009,0.3328613077884215,mixed
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,2016,90,High,4,0.16666666666666666,0.30246913580246915,160,0.3399532710280374,854,0.35250295266648496,11005,0.30246913580246915,160,0.3057779701363341,4619,0.39124579124579123,2968,0.29694621695533274,4386,24152,0.3371331618100686,0.3371040584184913,0.3328613077884215,mixed
2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,Lewis Capaldi,2018,69,High,7,0.2222222222222222,0.23255813953488372,41,0.231369150779896,1152,0.35250295266648496,11005,0.2608695652173913,21,0.3523118074130684,2615,0.3248459958932238,4868,0.35257548845470693,3376,23078,0.3403142836740464,0.34027687204622764,0.3328613077884215,mixed
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,2013,91,High,10,0.8333333333333334,0.5454545454545454,31,0.5323886639676113,492,0.35250295266648496,11005,0.5454545454545454,31,0.3523118074130684,2615,0.3248459958932238,4868,0.29694621695533274,4386,23428,0.3403142836740464,0.8333333333333334,0.3328613077884215,empirical
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,2022,87,High,10,0.5,0.28888888888888886,88,0.16326530612244897,194,0.35250295266648496,11005,0.28888888888888886,88,0.3419047619047619,1048,0.3248459958932238,4868,0.29694621695533274,4386,21677,0.3403142836740464,0.5,0.3328613077884215,empirical
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2018,82,High,12,0.5714285714285714,0.22429906542056074,105,0.231369150779896,1152,0.35250295266648496,11005,0.5714285714285714,12,0.3523118074130684,2615,0.3248459958932238,4868,0.35257548845470693,3376,23133,0.3403142836740464,0.5714285714285714,0.3328613077884215,empirical
1zi7xx7UVEFkmKfv06H8x0,One Dance,Drake,2016,88,High,16,0.6111111111111112,0.31176470588235294,168,0.3399532710280374,854,0.35250295266648496,11005,0.31176470588235294,168,0.3057779701363341,4619,0.3105590062111801,3862,0.29694621695533274,4386,25062,0.3403142836740464,0.6111111111111112,0.3328613077884215,empirical
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI,2021,80,High,7,0.1111111111111111,0.07692307692307693,11,0.1435114503816794,653,0.35250295266648496,11005,0.1111111111111111,7,0.3057779701363341,4619,0.3105590062111801,3862,0.29694621695533274,4386,24543,0.32142797161206366,0.32137034847639456,0.3328613077884215,mixed
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,2017,87,High,9,0.8181818181818182,0.4691358024691358,79,0.3100401606425703,1243,0.35250295266648496,11005,0.4722222222222222,70,0.3057779701363341,4619,0.3248459958932238,4868,0.29694621695533274,4386,26270,0.32854679065715986,0.3287152562979336,0.3328613077884215,mixed
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,2020,86,High,9,0.5454545454545454,0.5454545454545454,9,0.17761557177615572,820,0.35250295266648496,11005,0.5454545454545454,9,0.3057779701363341,4619,0.3248459958932238,4868,0.29694621695533274,4386,25716,0.32395781286220543,0.3240370133933713,0.3328613077884215,mixed
